sample,Cycling Lactocytes,KRT high lactocytes 1,KRT high lactocytes 2,Luminal Epithelial,MT High Secretory Lactocytes,Secretory Lactocytes
B2_,4.0,126.0,16.0,40.0,25.0,96.0
BM01_5dpp_r1,10.0,3.0,,11.0,11.0,500.0
BM01_7wkpp_r1,31.0,22.0,,219.0,290.0,621.0
BM01_12dpp_r1,,67.0,,73.0,35.0,384.0
BM01_13wkpp_r2,,2.0,,111.0,111.0,343.0
BM01_16dpp_r3,32.0,7.0,3.0,114.0,155.0,1037.0
BM01_23wk_r1,1.0,1.0,3.0,213.0,70.0,184.0
BM02_5dpp_r1,3.0,13.0,,4.0,1.0,142.0
BM02_5dpp_r2,5.0,136.0,,26.0,,650.0
BM02_6wkpp_r1,2.0,53.0,,41.0,3.0,149.0
BM02_10dpp_r1,1.0,201.0,,17.0,3.0,726.0
BM02_13wkpp_t1,16.0,64.0,2.0,113.0,28.0,735.0
BM02_14dpp_r1,11.0,62.0,,69.0,4.0,1316.0
BM02_24wk_r2,,5.0,,134.0,50.0,25.0
BM03_5dpp_r1,1.0,325.0,1.0,20.0,,586.0
BM03_6wkpp_r1,14.0,38.0,,49.0,34.0,1084.0
BM03_10dpp_r1,11.0,71.0,,18.0,,508.0
BM03_10dpp_r2,6.0,81.0,,31.0,2.0,562.0
BM03_13wk_r1,1.0,1.0,,13.0,26.0,123.0
BM03_13wkpp_r2,,1.0,1.0,21.0,28.0,132.0
BM03_15dpp_r1,23.0,48.0,1.0,17.0,1.0,668.0
BM03_24wk_r1,8.0,29.0,123.0,107.0,148.0,793.0
BM03_24wk_r2,9.0,16.0,57.0,93.0,104.0,683.0
BM04_t1_r2,1.0,6.0,8.0,31.0,170.0,26.0
BM04_t3_r1,3.0,9.0,19.0,244.0,198.0,170.0
BM5_,7.0,495.0,45.0,44.0,45.0,295.0
BM05_6dpp_r1,1.0,5.0,,18.0,,1.0
BM05_6wkpp,2.0,45.0,5.0,183.0,24.0,187.0
BM05_12wk_r2,2.0,74.0,63.0,49.0,15.0,230.0
BM05_26wk_r1_,4.0,64.0,252.0,171.0,120.0,245.0
BM06_t1_r1,6.0,2.0,5.0,448.0,153.0,427.0
BM06_t3,9.0,2.0,,286.0,149.0,180.0
BM07_5dpp_r1,19.0,127.0,,18.0,,438.0
BM07_7wkpp_r1,1.0,92.0,,13.0,4.0,72.0
BM07_10dpp_r1,54.0,11.0,,12.0,3.0,1018.0
BM07_13wk_r1,7.0,20.0,5.0,32.0,58.0,263.0
BM07_17dpp_r2,32.0,25.0,2.0,46.0,2.0,1180.0
BM07_25wk_lot711,21.0,8.0,6.0,127.0,142.0,763.0
BM08_6wk_r1,,13.0,,25.0,2.0,32.0
BM08_6wkpp_r2,1.0,8.0,1.0,53.0,7.0,42.0
BM08_13wk_r1,1.0,41.0,2.0,149.0,101.0,533.0
BM08_15dpp_r1,19.0,34.0,,19.0,10.0,736.0
BM08_24wk,7.0,47.0,,333.0,185.0,274.0
BM10_t1_r1,7.0,223.0,214.0,137.0,82.0,496.0
BM11_5dpp_r1,11.0,137.0,,31.0,2.0,695.0
BM11_6wk_r1,1.0,72.0,1.0,3.0,1.0,175.0
BM12_6wk,37.0,1.0,1.0,53.0,49.0,831.0
BM13_6dpp_r1,65.0,49.0,,26.0,2.0,493.0
BM13_6wk_r1,20.0,143.0,4.0,157.0,37.0,734.0
BM13_6wk_r3,9.0,80.0,3.0,51.0,14.0,410.0
BM13_12wk,9.0,21.0,1.0,198.0,24.0,261.0
BM13_13dpp_r1,6.0,107.0,1.0,106.0,12.0,790.0
BM19_4dpp_r1,34.0,23.0,,38.0,2.0,1005.0
BT_t3_lot1_,,23.0,224.0,10.0,40.0,12.0
BT_t3_old_,1.0,46.0,337.0,28.0,52.0,15.0
Bfresh_,2.0,1.0,,5.0,,
K1_,2.0,14.0,117.0,56.0,53.0,5.0
K2_,3.0,13.0,122.0,77.0,52.0,3.0
Kfresh_,11.0,281.0,83.0,89.0,113.0,703.0
