sample,B cells,T cells,dendritic cells,eosinophils,fibroblasts,luminal 2,luminal/lactocyte,macrophages,milk macrophages,neutrophils
B2_,,,1.0,,36.0,38.0,269.0,6.0,6.0,4.0
BM01_5dpp_r1,,5.0,,,,11.0,524.0,18.0,2.0,112.0
BM01_7wkpp_r1,,1.0,4.0,,,221.0,962.0,9.0,2.0,
BM01_12dpp_r1,,25.0,4.0,,,42.0,517.0,43.0,18.0,88.0
BM01_13wkpp_r2,,,1.0,,,99.0,468.0,,1.0,
BM01_16dpp_r3,1.0,,1.0,,,109.0,1239.0,3.0,,
BM01_23wk_r1,,,,,,18.0,454.0,1.0,,2.0
BM02_5dpp_r1,,3.0,,,,4.0,159.0,2.0,9.0,15.0
BM02_5dpp_r2,,16.0,,,,25.0,792.0,18.0,14.0,29.0
BM02_6wkpp_r1,5.0,37.0,16.0,7.0,,39.0,209.0,241.0,13.0,187.0
BM02_10dpp_r1,1.0,34.0,7.0,1.0,,11.0,937.0,43.0,13.0,23.0
BM02_13wkpp_t1,1.0,8.0,5.0,,,107.0,851.0,9.0,7.0,1.0
BM02_14dpp_r1,,1.0,6.0,,,64.0,1398.0,24.0,6.0,2.0
BM02_24wk_r2,,3.0,2.0,1.0,,124.0,90.0,11.0,2.0,6.0
BM03_5dpp_r1,,3.0,,1.0,,20.0,913.0,13.0,3.0,6.0
BM03_6wkpp_r1,,4.0,1.0,,,51.0,1168.0,7.0,,4.0
BM03_10dpp_r1,,1.0,,2.0,,18.0,590.0,2.0,,
BM03_10dpp_r2,,,,6.0,,21.0,661.0,8.0,10.0,
BM03_13wk_r1,,4.0,,,,13.0,151.0,1.0,1.0,1.0
BM03_13wkpp_r2,,2.0,,,,21.0,162.0,2.0,5.0,
BM03_15dpp_r1,,3.0,,1.0,,14.0,744.0,2.0,2.0,5.0
BM03_24wk_r1,,4.0,,,,93.0,1115.0,,2.0,
BM03_24wk_r2,1.0,1.0,,,,80.0,882.0,,3.0,
BM04_t1_r2,2.0,14.0,1.0,,,32.0,210.0,1.0,,29.0
BM04_t3_r1,1.0,8.0,1.0,1.0,,238.0,405.0,5.0,2.0,2.0
BM5_,,2.0,1.0,,,42.0,889.0,22.0,,1.0
BM05_6dpp_r1,,,1.0,,,18.0,7.0,1393.0,244.0,
BM05_6wkpp,,6.0,61.0,,,182.0,264.0,609.0,128.0,
BM05_12wk_r2,1.0,17.0,39.0,,,46.0,387.0,277.0,87.0,5.0
BM05_26wk_r1_,6.0,79.0,19.0,1.0,,162.0,694.0,40.0,19.0,37.0
BM06_t1_r1,,1.0,2.0,1.0,,441.0,600.0,7.0,,
BM06_t3,,1.0,1.0,,,287.0,339.0,6.0,,
BM07_5dpp_r1,,47.0,3.0,,,18.0,584.0,338.0,85.0,
BM07_7wkpp_r1,,7.0,2.0,,,13.0,169.0,72.0,26.0,1.0
BM07_10dpp_r1,,12.0,2.0,,,10.0,1088.0,78.0,18.0,
BM07_13wk_r1,,6.0,4.0,1.0,,24.0,361.0,15.0,6.0,3.0
BM07_17dpp_r2,,3.0,4.0,,,45.0,1242.0,59.0,16.0,
BM07_25wk_lot711,2.0,24.0,20.0,,,123.0,944.0,53.0,2.0,11.0
BM08_6wk_r1,2.0,26.0,16.0,,,25.0,47.0,66.0,6.0,69.0
BM08_6wkpp_r2,6.0,17.0,43.0,,,52.0,60.0,129.0,24.0,11.0
BM08_13wk_r1,7.0,29.0,4.0,,,150.0,677.0,9.0,4.0,5.0
BM08_15dpp_r1,,4.0,1.0,,,20.0,798.0,6.0,3.0,30.0
BM08_24wk,11.0,41.0,14.0,,,327.0,519.0,14.0,11.0,5.0
BM10_t1_r1,,4.0,3.0,,,128.0,1031.0,23.0,6.0,
BM11_5dpp_r1,,14.0,,1.0,,32.0,844.0,94.0,15.0,1.0
BM11_6wk_r1,,,1.0,,,3.0,250.0,13.0,8.0,
BM12_6wk,,,2.0,,,50.0,922.0,2.0,,1.0
BM13_6dpp_r1,,12.0,4.0,,,26.0,609.0,333.0,20.0,3.0
BM13_6wk_r1,1.0,3.0,5.0,,,156.0,939.0,57.0,28.0,
BM13_6wk_r3,,2.0,5.0,,,49.0,518.0,27.0,24.0,8.0
BM13_12wk,,37.0,1.0,,,196.0,318.0,18.0,34.0,
BM13_13dpp_r1,,1.0,1.0,,,50.0,972.0,10.0,13.0,
BM19_4dpp_r1,2.0,16.0,4.0,,,37.0,1065.0,212.0,22.0,31.0
BT_t3_lot1_,1.0,74.0,16.0,1.0,,10.0,299.0,64.0,8.0,38.0
BT_t3_old_,1.0,56.0,43.0,,,28.0,451.0,128.0,17.0,29.0
Bfresh_,,66.0,50.0,,,5.0,3.0,617.0,36.0,26.0
K1_,,3.0,1.0,,52.0,34.0,213.0,18.0,10.0,3.0
K2_,,5.0,1.0,,52.0,45.0,225.0,9.0,13.0,1.0
Kfresh_,,,1.0,,,80.0,1200.0,31.0,12.0,
